CPU_ALL,CPU Total VM-12-13-centos,User%,Sys%,Wait%,Idle%,Steal%,Busy,CPUs
CPU_ALL,T0001,2.2,5.7,2.6,89.6,0.0,,2
CPU_ALL,T0002,0.7,0.7,0.4,98.2,0.0,,2
CPU_ALL,T0003,0.3,0.3,0.1,99.3,0.0,,2
CPU_ALL,T0004,0.8,0.9,0.5,97.8,0.0,,2
CPU_ALL,T0005,0.2,0.3,0.1,99.4,0.0,,2
CPU_ALL,T0006,0.8,1.2,0.4,97.6,0.0,,2
CPU_ALL,T0007,0.4,0.3,0.1,99.2,0.0,,2
CPU_ALL,T0008,3.1,1.1,0.4,95.4,0.0,,2
CPU_ALL,T0009,0.5,0.7,0.1,98.7,0.0,,2
CPU_ALL,T0010,0.8,0.8,0.4,98.0,0.0,,2
CPU_ALL,T0011,0.4,0.9,0.1,98.6,0.0,,2
CPU_ALL,T0012,0.7,0.7,0.4,98.2,0.0,,2
CPU_ALL,T0013,0.3,0.8,0.0,98.9,0.0,,2
CPU_ALL,T0014,0.7,1.3,0.6,97.4,0.0,,2
CPU_ALL,T0015,0.4,0.3,0.0,99.3,0.0,,2
CPU_ALL,T0016,0.6,0.8,0.7,97.9,0.0,,2
CPU_ALL,T0017,0.3,0.4,0.0,99.3,0.0,,2
CPU_ALL,T0018,1.0,1.2,0.6,97.2,0.0,,2
CPU_ALL,T0019,0.4,0.2,0.1,99.3,0.0,,2
CPU_ALL,T0020,3.0,1.2,0.7,95.1,0.0,,2
CPU_ALL,T0021,0.6,0.4,0.0,99.0,0.0,,2
CPU_ALL,T0022,0.6,0.8,0.7,97.9,0.0,,2
CPU_ALL,T0023,2.2,0.8,0.0,97.0,0.0,,2
CPU_ALL,T0024,0.7,0.8,0.5,98.0,0.0,,2
CPU_ALL,T0025,0.4,0.7,0.1,98.8,0.0,,2
CPU_ALL,T0026,0.7,0.9,0.4,98.0,0.0,,2
CPU_ALL,T0027,0.3,0.6,0.1,99.0,0.0,,2
CPU_ALL,T0028,0.7,0.8,0.5,98.0,0.0,,2
CPU_ALL,T0029,0.3,0.4,0.1,99.2,0.0,,2
CPU_ALL,T0030,1.2,1.3,0.5,97.0,0.0,,2
CPU_ALL,T0031,0.3,0.4,0.2,99.1,0.0,,2
CPU_ALL,T0032,3.1,1.1,0.5,95.3,0.0,,2
CPU_ALL,T0033,0.6,0.6,0.3,98.5,0.0,,2
CPU_ALL,T0034,0.6,0.8,0.5,98.1,0.0,,2
CPU_ALL,T0035,0.4,0.6,0.0,99.0,0.0,,2
CPU_ALL,T0036,0.7,0.7,0.5,98.1,0.0,,2
CPU_ALL,T0037,0.3,0.4,0.1,99.2,0.0,,2
CPU_ALL,T0038,0.9,1.2,0.4,97.5,0.0,,2
CPU_ALL,T0039,0.2,0.5,0.1,99.2,0.0,,2
CPU_ALL,T0040,0.7,1.0,0.5,97.8,0.0,,2
CPU_ALL,T0041,0.2,0.3,0.0,99.5,0.0,,2
CPU_ALL,T0042,1.3,2.0,0.6,96.1,0.0,,2
CPU_ALL,T0043,0.2,0.3,0.0,99.5,0.0,,2
CPU_ALL,T0044,3.1,1.4,0.6,94.9,0.0,,2
CPU_ALL,T0045,0.4,0.5,0.0,99.1,0.0,,2
CPU_ALL,T0046,0.7,0.7,0.4,98.2,0.0,,2
CPU_ALL,T0047,0.4,0.9,0.1,98.6,0.0,,2
CPU_ALL,T0048,0.8,0.7,0.4,98.1,0.0,,2
CPU_ALL,T0049,0.3,0.4,0.2,99.1,0.0,,2
CPU_ALL,T0050,0.8,0.7,0.5,98.0,0.0,,2
CPU_ALL,T0051,0.3,0.3,0.0,99.4,0.0,,2
CPU_ALL,T0052,0.6,0.7,0.4,98.3,0.0,,2
CPU_ALL,T0053,0.3,0.4,0.2,99.1,0.0,,2
CPU_ALL,T0054,0.9,1.1,0.4,97.6,0.0,,2
CPU_ALL,T0055,0.4,0.9,0.1,98.6,0.0,,2
CPU_ALL,T0056,3.0,1.1,0.4,95.5,0.0,,2
CPU_ALL,T0057,0.6,0.4,0.0,99.0,0.0,,2
CPU_ALL,T0058,0.7,0.9,0.5,97.9,0.0,,2
CPU_ALL,T0059,2.3,1.0,0.1,96.6,0.0,,2
CPU_ALL,T0060,0.6,0.8,0.4,98.2,0.0,,2
CPU_ALL,T0061,0.4,1.0,0.0,98.6,0.0,,2
CPU_ALL,T0062,0.8,0.8,0.6,97.8,0.0,,2
CPU_ALL,T0063,0.2,0.7,0.1,99.0,0.0,,2
CPU_ALL,T0064,0.7,1.7,0.5,97.1,0.0,,2
CPU_ALL,T0065,0.3,0.3,0.0,99.4,0.0,,2
CPU_ALL,T0066,0.9,1.6,0.6,96.9,0.0,,2
CPU_ALL,T0067,0.4,0.5,0.1,99.0,0.0,,2
CPU_ALL,T0068,3.0,1.5,0.3,95.2,0.0,,2
CPU_ALL,T0069,0.6,0.7,0.1,98.6,0.0,,2
CPU_ALL,T0070,0.8,0.8,0.4,98.0,0.0,,2
CPU_ALL,T0071,0.4,1.1,0.1,98.4,0.0,,2
CPU_ALL,T0072,0.8,0.7,0.4,98.1,0.0,,2
CPU_ALL,T0073,0.3,0.4,0.1,99.2,0.0,,2
CPU_ALL,T0074,0.9,1.4,0.4,97.3,0.0,,2
CPU_ALL,T0075,0.2,0.5,0.1,99.2,0.0,,2
CPU_ALL,T0076,0.6,0.8,0.5,98.1,0.0,,2
CPU_ALL,T0077,0.3,0.4,0.1,99.2,0.0,,2
CPU_ALL,T0078,1.0,1.8,0.5,96.7,0.0,,2
CPU_ALL,T0079,0.4,0.4,0.1,99.1,0.0,,2
CPU_ALL,T0080,2.9,1.4,0.5,95.2,0.0,,2
CPU_ALL,T0081,0.5,0.6,0.0,98.9,0.0,,2
CPU_ALL,T0082,0.8,0.8,0.4,98.0,0.0,,2
CPU_ALL,T0083,0.3,0.6,0.1,99.0,0.0,,2
CPU_ALL,T0084,0.9,0.9,0.5,97.7,0.0,,2
CPU_ALL,T0085,0.2,0.3,0.1,99.4,0.0,,2
CPU_ALL,T0086,0.8,0.9,0.4,97.9,0.0,,2
CPU_ALL,T0087,0.4,0.4,0.1,99.1,0.0,,2
CPU_ALL,T0088,0.7,1.1,0.4,97.8,0.0,,2
CPU_ALL,T0089,0.4,0.4,0.0,99.2,0.0,,2
CPU_ALL,T0090,1.3,1.5,0.6,96.6,0.0,,2
CPU_ALL,T0091,0.3,0.4,0.0,99.3,0.0,,2
CPU_ALL,T0092,3.1,0.9,0.3,95.7,0.0,,2
