DISKBSIZE,Disk Block Size VM-12-13-centos,vda,vda1,sr0
DISKBSIZE,T0001,44.0,44.0,0.0
DISKBSIZE,T0002,9.1,9.1,0.0
DISKBSIZE,T0003,12.0,12.0,0.0
DISKBSIZE,T0004,9.8,9.8,0.0
DISKBSIZE,T0005,12.0,12.0,0.0
DISKBSIZE,T0006,9.4,9.4,0.0
DISKBSIZE,T0007,14.9,14.9,0.0
DISKBSIZE,T0008,6.3,6.3,0.0
DISKBSIZE,T0009,13.1,13.1,0.0
DISKBSIZE,T0010,9.5,9.5,0.0
DISKBSIZE,T0011,12.7,12.7,0.0
DISKBSIZE,T0012,9.5,9.5,0.0
DISKBSIZE,T0013,19.0,19.0,0.0
DISKBSIZE,T0014,10.2,10.2,0.0
DISKBSIZE,T0015,6.3,6.3,0.0
DISKBSIZE,T0016,9.6,9.6,0.0
DISKBSIZE,T0017,24.0,24.0,0.0
DISKBSIZE,T0018,9.6,9.6,0.0
DISKBSIZE,T0019,24.0,24.0,0.0
DISKBSIZE,T0020,9.6,9.6,0.0
DISKBSIZE,T0021,18.7,18.7,0.0
DISKBSIZE,T0022,7.8,7.8,0.0
DISKBSIZE,T0023,26.0,26.0,0.0
DISKBSIZE,T0024,9.0,9.0,0.0
DISKBSIZE,T0025,5.5,5.5,0.0
DISKBSIZE,T0026,9.9,9.9,0.0
DISKBSIZE,T0027,12.0,12.0,0.0
DISKBSIZE,T0028,10.5,10.5,0.0
DISKBSIZE,T0029,6.7,6.7,0.0
DISKBSIZE,T0030,10.3,10.3,0.0
DISKBSIZE,T0031,11.3,11.3,0.0
DISKBSIZE,T0032,9.5,9.5,0.0
DISKBSIZE,T0033,5.6,5.6,0.0
DISKBSIZE,T0034,9.5,9.5,0.0
DISKBSIZE,T0035,26.0,26.0,0.0
DISKBSIZE,T0036,9.6,9.6,0.0
DISKBSIZE,T0037,6.8,6.8,0.0
DISKBSIZE,T0038,9.7,9.7,0.0
DISKBSIZE,T0039,36.0,36.0,0.0
DISKBSIZE,T0040,9.6,9.6,0.0
DISKBSIZE,T0041,24.0,24.0,0.0
DISKBSIZE,T0042,10.6,10.6,0.0
DISKBSIZE,T0043,5.4,5.4,0.0
DISKBSIZE,T0044,9.6,9.6,0.0
DISKBSIZE,T0045,26.0,26.0,0.0
DISKBSIZE,T0046,9.2,9.2,0.0
DISKBSIZE,T0047,12.0,12.0,0.0
DISKBSIZE,T0048,9.5,9.5,0.0
DISKBSIZE,T0049,12.3,12.3,0.0
DISKBSIZE,T0050,7.8,7.8,0.0
DISKBSIZE,T0051,12.0,12.0,0.0
DISKBSIZE,T0052,9.8,9.8,0.0
DISKBSIZE,T0053,7.9,7.9,0.0
DISKBSIZE,T0054,9.7,9.9,0.0
DISKBSIZE,T0055,12.4,12.4,0.0
DISKBSIZE,T0056,9.5,9.5,0.0
DISKBSIZE,T0057,26.0,26.0,0.0
DISKBSIZE,T0058,9.7,9.7,0.0
DISKBSIZE,T0059,5.3,5.3,0.0
DISKBSIZE,T0060,9.5,9.5,0.0
DISKBSIZE,T0061,24.0,24.0,0.0
DISKBSIZE,T0062,9.8,9.8,0.0
DISKBSIZE,T0063,26.0,26.0,0.0
DISKBSIZE,T0064,9.7,9.7,0.0
DISKBSIZE,T0065,19.0,19.0,0.0
DISKBSIZE,T0066,8.6,8.6,0.0
DISKBSIZE,T0067,24.0,24.0,0.0
DISKBSIZE,T0068,9.2,9.2,0.0
DISKBSIZE,T0069,12.9,12.9,0.0
DISKBSIZE,T0070,9.8,9.8,0.0
DISKBSIZE,T0071,12.0,12.0,0.0
DISKBSIZE,T0072,7.0,7.0,0.0
DISKBSIZE,T0073,7.7,7.7,0.0
DISKBSIZE,T0074,10.2,10.2,0.0
DISKBSIZE,T0075,12.7,12.7,0.0
DISKBSIZE,T0076,9.5,9.5,0.0
DISKBSIZE,T0077,11.7,11.7,0.0
DISKBSIZE,T0078,10.0,10.0,0.0
DISKBSIZE,T0079,6.1,6.1,0.0
DISKBSIZE,T0080,7.5,7.5,0.0
DISKBSIZE,T0081,18.0,18.0,0.0
DISKBSIZE,T0082,9.6,9.6,0.0
DISKBSIZE,T0083,24.0,24.0,0.0
DISKBSIZE,T0084,9.5,9.5,0.0
DISKBSIZE,T0085,24.0,24.0,0.0
DISKBSIZE,T0086,10.1,10.1,0.0
DISKBSIZE,T0087,6.4,6.4,0.0
DISKBSIZE,T0088,11.1,11.1,0.0
DISKBSIZE,T0089,22.7,22.7,0.0
DISKBSIZE,T0090,10.1,10.1,0.0
DISKBSIZE,T0091,0.0,0.0,0.0
DISKBSIZE,T0092,9.7,9.7,0.0
DISKBSIZE,T0093,13.1,13.1,0.0
DISKBSIZE,T0094,5.8,5.8,0.0
DISKBSIZE,T0095,15.6,15.6,0.0
DISKBSIZE,T0096,9.3,9.3,0.0
DISKBSIZE,T0097,14.5,14.5,0.0
DISKBSIZE,T0098,9.5,9.5,0.0
DISKBSIZE,T0099,12.7,12.7,0.0
DISKBSIZE,T0100,10.2,10.2,0.0
DISKBSIZE,T0101,6.9,6.9,0.0
DISKBSIZE,T0102,9.9,9.9,0.0
DISKBSIZE,T0103,24.0,24.0,0.0
