DISKWRITE,Disk Write KB/s VM-12-13-centos,vda,vda1,sr0
DISKWRITE,T0001,0.0,0.0,0.0
DISKWRITE,T0002,155.8,155.8,0.0
DISKWRITE,T0003,21.6,21.6,0.0
DISKWRITE,T0004,82.3,82.3,0.0
DISKWRITE,T0005,21.6,21.6,0.0
DISKWRITE,T0006,95.9,95.9,0.0
DISKWRITE,T0007,32.8,32.8,0.0
DISKWRITE,T0008,167.0,167.0,0.0
DISKWRITE,T0009,28.8,28.8,0.0
DISKWRITE,T0010,75.9,75.9,0.0
DISKWRITE,T0011,28.0,28.0,0.0
DISKWRITE,T0012,79.9,79.9,0.0
DISKWRITE,T0013,15.2,15.2,0.0
DISKWRITE,T0014,107.9,107.9,0.0
DISKWRITE,T0015,28.8,28.8,0.0
DISKWRITE,T0016,93.4,93.4,0.0
DISKWRITE,T0017,9.6,9.6,0.0
DISKWRITE,T0018,99.9,99.9,0.0
DISKWRITE,T0019,9.6,9.6,0.0
DISKWRITE,T0020,94.3,94.3,0.0
DISKWRITE,T0021,22.4,22.4,0.0
DISKWRITE,T0022,114.3,114.3,0.0
DISKWRITE,T0023,10.4,10.4,0.0
DISKWRITE,T0024,77.5,77.5,0.0
DISKWRITE,T0025,67.0,67.0,0.0
DISKWRITE,T0026,83.1,83.1,0.0
DISKWRITE,T0027,21.6,21.6,0.0
DISKWRITE,T0028,94.3,94.3,0.0
DISKWRITE,T0029,37.6,37.6,0.0
DISKWRITE,T0030,94.3,94.3,0.0
DISKWRITE,T0031,27.2,27.2,0.0
DISKWRITE,T0032,75.9,75.9,0.0
DISKWRITE,T0033,139.1,139.1,0.0
DISKWRITE,T0034,75.9,75.9,0.0
DISKWRITE,T0035,10.4,10.4,0.0
DISKWRITE,T0036,97.5,97.5,0.0
DISKWRITE,T0037,40.8,40.8,0.0
DISKWRITE,T0038,95.1,95.1,0.0
DISKWRITE,T0039,14.4,14.4,0.0
DISKWRITE,T0040,98.3,98.3,0.0
DISKWRITE,T0041,9.6,9.6,0.0
DISKWRITE,T0042,107.9,107.9,0.0
DISKWRITE,T0043,115.9,115.9,0.0
DISKWRITE,T0044,94.3,94.3,0.0
DISKWRITE,T0045,10.4,10.4,0.0
DISKWRITE,T0046,73.5,73.5,0.0
DISKWRITE,T0047,21.6,21.6,0.0
DISKWRITE,T0048,83.9,83.9,0.0
DISKWRITE,T0049,32.0,32.0,0.0
DISKWRITE,T0050,108.7,108.7,0.0
DISKWRITE,T0051,26.4,26.4,0.0
DISKWRITE,T0052,82.3,82.3,0.0
DISKWRITE,T0053,51.9,51.9,0.0
DISKWRITE,T0054,95.1,95.1,0.0
DISKWRITE,T0055,27.2,27.2,0.0
DISKWRITE,T0056,75.9,75.9,0.0
DISKWRITE,T0057,10.4,10.4,0.0
DISKWRITE,T0058,95.1,95.1,0.0
DISKWRITE,T0059,89.5,89.5,0.0
DISKWRITE,T0060,102.3,102.3,0.0
DISKWRITE,T0061,9.6,9.6,0.0
DISKWRITE,T0062,95.9,95.9,0.0
DISKWRITE,T0063,10.4,10.4,0.0
DISKWRITE,T0064,95.1,95.1,0.0
DISKWRITE,T0065,15.2,15.2,0.0
DISKWRITE,T0066,127.9,127.9,0.0
DISKWRITE,T0067,9.6,9.6,0.0
DISKWRITE,T0068,73.5,73.5,0.0
DISKWRITE,T0069,23.2,23.2,0.0
DISKWRITE,T0070,82.3,82.3,0.0
DISKWRITE,T0071,21.6,21.6,0.0
DISKWRITE,T0072,135.1,135.1,0.0
DISKWRITE,T0073,53.5,53.5,0.0
DISKWRITE,T0074,89.5,89.5,0.0
DISKWRITE,T0075,28.0,28.0,0.0
DISKWRITE,T0076,75.9,75.9,0.0
DISKWRITE,T0077,28.0,28.0,0.0
DISKWRITE,T0078,85.5,85.5,0.0
DISKWRITE,T0079,95.1,95.1,0.0
DISKWRITE,T0080,102.3,102.3,0.0
DISKWRITE,T0081,14.4,14.4,0.0
DISKWRITE,T0082,93.5,93.5,0.0
DISKWRITE,T0083,9.6,9.6,0.0
DISKWRITE,T0084,104.7,104.7,0.0
DISKWRITE,T0085,9.6,9.6,0.0
DISKWRITE,T0086,104.7,104.7,0.0
DISKWRITE,T0087,34.4,34.4,0.0
DISKWRITE,T0088,112.7,112.7,0.0
DISKWRITE,T0089,13.6,13.6,0.0
DISKWRITE,T0090,103.1,103.1,0.0
DISKWRITE,T0091,0.0,0.0,0.0
DISKWRITE,T0092,81.5,81.5,0.0
DISKWRITE,T0093,28.8,28.8,0.0
DISKWRITE,T0094,209.4,209.4,0.0
DISKWRITE,T0095,31.2,31.2,0.0
DISKWRITE,T0096,89.5,89.5,0.0
DISKWRITE,T0097,32.0,32.0,0.0
DISKWRITE,T0098,75.9,75.9,0.0
DISKWRITE,T0099,28.0,28.0,0.0
DISKWRITE,T0100,85.5,85.5,0.0
DISKWRITE,T0101,62.3,62.3,0.0
DISKWRITE,T0102,88.7,88.7,0.0
DISKWRITE,T0103,9.6,9.6,0.0
DISKWRITE,T0104,94.3,94.3,0.0
DISKWRITE,T0105,10.4,10.4,0.0
DISKWRITE,T0106,97.5,97.5,0.0
DISKWRITE,T0107,16.0,16.0,0.0
DISKWRITE,T0108,169.4,169.4,0.0
DISKWRITE,T0109,16.0,16.0,0.0
DISKWRITE,T0110,93.5,93.5,0.0
DISKWRITE,T0111,9.6,9.6,0.0
DISKWRITE,T0112,94.3,94.3,0.0
DISKWRITE,T0113,0.8,0.8,0.0
DISKWRITE,T0114,102.3,102.3,0.0
DISKWRITE,T0115,43.2,43.2,0.0
