DISKXFER,Disk transfers per second VM-12-13-centos,vda,vda1,sr0
DISKXFER,T0001,4.3,4.3,0.0
DISKXFER,T0002,17.2,17.2,0.0
DISKXFER,T0003,1.8,1.8,0.0
DISKXFER,T0004,8.4,8.4,0.0
DISKXFER,T0005,1.8,1.8,0.0
DISKXFER,T0006,10.2,10.2,0.0
DISKXFER,T0007,2.2,2.2,0.0
DISKXFER,T0008,26.6,26.6,0.0
DISKXFER,T0009,2.2,2.2,0.0
DISKXFER,T0010,8.0,8.0,0.0
DISKXFER,T0011,2.2,2.2,0.0
DISKXFER,T0012,8.4,8.4,0.0
DISKXFER,T0013,0.8,0.8,0.0
DISKXFER,T0014,10.6,10.6,0.0
DISKXFER,T0015,4.6,4.6,0.0
DISKXFER,T0016,9.8,9.8,0.0
DISKXFER,T0017,0.4,0.4,0.0
DISKXFER,T0018,10.4,10.4,0.0
DISKXFER,T0019,0.4,0.4,0.0
DISKXFER,T0020,9.8,9.8,0.0
DISKXFER,T0021,1.2,1.2,0.0
DISKXFER,T0022,14.6,14.6,0.0
DISKXFER,T0023,0.4,0.4,0.0
DISKXFER,T0024,8.6,8.6,0.0
DISKXFER,T0025,12.2,12.2,0.0
DISKXFER,T0026,8.4,8.4,0.0
DISKXFER,T0027,1.8,1.8,0.0
DISKXFER,T0028,9.0,9.0,0.0
DISKXFER,T0029,5.6,5.6,0.0
DISKXFER,T0030,9.2,9.2,0.0
DISKXFER,T0031,2.4,2.4,0.0
DISKXFER,T0032,8.0,8.0,0.0
DISKXFER,T0033,24.8,24.8,0.0
DISKXFER,T0034,8.0,8.0,0.0
DISKXFER,T0035,0.4,0.4,0.0
DISKXFER,T0036,10.2,10.2,0.0
DISKXFER,T0037,6.0,6.0,0.0
DISKXFER,T0038,9.8,9.8,0.0
DISKXFER,T0039,0.4,0.4,0.0
DISKXFER,T0040,10.2,10.2,0.0
DISKXFER,T0041,0.4,0.4,0.0
DISKXFER,T0042,10.2,10.2,0.0
DISKXFER,T0043,21.4,21.4,0.0
DISKXFER,T0044,9.8,9.8,0.0
DISKXFER,T0045,0.4,0.4,0.0
DISKXFER,T0046,8.0,8.0,0.0
DISKXFER,T0047,1.8,1.8,0.0
DISKXFER,T0048,8.8,8.8,0.0
DISKXFER,T0049,2.6,2.6,0.0
DISKXFER,T0050,14.0,14.0,0.0
DISKXFER,T0051,2.2,2.2,0.0
DISKXFER,T0052,8.4,8.4,0.0
DISKXFER,T0053,6.6,6.6,0.0
DISKXFER,T0054,9.8,9.6,0.0
DISKXFER,T0055,2.2,2.2,0.0
DISKXFER,T0056,8.0,8.0,0.0
DISKXFER,T0057,0.4,0.4,0.0
DISKXFER,T0058,9.8,9.8,0.0
DISKXFER,T0059,16.8,16.8,0.0
DISKXFER,T0060,10.8,10.8,0.0
DISKXFER,T0061,0.4,0.4,0.0
DISKXFER,T0062,9.8,9.8,0.0
DISKXFER,T0063,0.4,0.4,0.0
DISKXFER,T0064,9.8,9.8,0.0
DISKXFER,T0065,0.8,0.8,0.0
DISKXFER,T0066,14.8,14.8,0.0
DISKXFER,T0067,0.4,0.4,0.0
DISKXFER,T0068,8.0,8.0,0.0
DISKXFER,T0069,1.8,1.8,0.0
DISKXFER,T0070,8.4,8.4,0.0
DISKXFER,T0071,1.8,1.8,0.0
DISKXFER,T0072,19.4,19.4,0.0
DISKXFER,T0073,7.0,7.0,0.0
DISKXFER,T0074,8.8,8.8,0.0
DISKXFER,T0075,2.2,2.2,0.0
DISKXFER,T0076,8.0,8.0,0.0
DISKXFER,T0077,2.4,2.4,0.0
DISKXFER,T0078,8.6,8.6,0.0
DISKXFER,T0079,15.6,15.6,0.0
DISKXFER,T0080,13.6,13.6,0.0
DISKXFER,T0081,0.8,0.8,0.0
DISKXFER,T0082,9.8,9.8,0.0
DISKXFER,T0083,0.4,0.4,0.0
DISKXFER,T0084,11.0,11.0,0.0
DISKXFER,T0085,0.4,0.4,0.0
DISKXFER,T0086,10.4,10.4,0.0
DISKXFER,T0087,5.4,5.4,0.0
DISKXFER,T0088,10.2,10.2,0.0
DISKXFER,T0089,0.6,0.6,0.0
DISKXFER,T0090,10.2,10.2,0.0
DISKXFER,T0091,0.0,0.0,0.0
DISKXFER,T0092,8.4,8.4,0.0
DISKXFER,T0093,2.2,2.2,0.0
DISKXFER,T0094,36.2,36.2,0.0
DISKXFER,T0095,2.0,2.0,0.0
DISKXFER,T0096,9.6,9.6,0.0
DISKXFER,T0097,2.2,2.2,0.0
DISKXFER,T0098,8.0,8.0,0.0
DISKXFER,T0099,2.2,2.2,0.0
DISKXFER,T0100,8.4,8.4,0.0
DISKXFER,T0101,9.0,9.0,0.0
DISKXFER,T0102,9.0,9.0,0.0
DISKXFER,T0103,0.4,0.4,0.0
DISKXFER,T0104,9.8,9.8,0.0
DISKXFER,T0105,0.4,0.4,0.0
DISKXFER,T0106,9.8,9.8,0.0
DISKXFER,T0107,0.6,0.6,0.0
DISKXFER,T0108,26.0,26.0,0.0
DISKXFER,T0109,0.8,0.8,0.0
DISKXFER,T0110,9.8,9.8,0.0
DISKXFER,T0111,0.4,0.4,0.0
DISKXFER,T0112,9.8,9.8,0.0
DISKXFER,T0113,0.2,0.2,0.0
DISKXFER,T0114,10.4,10.2,0.0
DISKXFER,T0115,6.0,6.0,0.0
DISKXFER,T0116,9.0,9.0,0.0
DISKXFER,T0117,1.8,1.8,0.0
DISKXFER,T0118,8.4,8.4,0.0
DISKXFER,T0119,2.2,2.2,0.0
DISKXFER,T0120,19.2,19.2,0.0
DISKXFER,T0121,2.4,2.4,0.0
DISKXFER,T0122,11.6,11.6,0.0
DISKXFER,T0123,2.6,2.6,0.0
DISKXFER,T0124,8.0,8.0,0.0
DISKXFER,T0125,0.6,0.6,0.0
DISKXFER,T0126,10.2,10.2,0.0
DISKXFER,T0127,0.6,0.6,0.0
DISKXFER,T0128,10.0,10.0,0.0
DISKXFER,T0129,5.6,5.6,0.0
DISKXFER,T0130,10.4,10.4,0.0
DISKXFER,T0131,0.4,0.4,0.0
DISKXFER,T0132,20.8,20.8,0.0
DISKXFER,T0133,0.4,0.4,0.0
DISKXFER,T0134,9.8,9.8,0.0
DISKXFER,T0135,3.2,3.2,0.0
DISKXFER,T0136,8.6,8.6,0.0
DISKXFER,T0137,1.8,1.8,0.0
DISKXFER,T0138,13.0,13.0,0.0
DISKXFER,T0139,1.8,1.8,0.0
DISKXFER,T0140,8.4,8.4,0.0
DISKXFER,T0141,2.2,2.2,0.0
DISKXFER,T0142,8.0,8.0,0.0
DISKXFER,T0143,2.2,2.2,0.0
DISKXFER,T0144,9.6,9.6,0.0
DISKXFER,T0145,18.0,18.0,0.0
DISKXFER,T0146,8.0,8.0,0.0
DISKXFER,T0147,0.4,0.4,0.0
DISKXFER,T0148,9.8,9.8,0.0
DISKXFER,T0149,0.4,0.4,0.0
DISKXFER,T0150,16.2,16.2,0.0
DISKXFER,T0151,0.4,0.4,0.0
DISKXFER,T0152,9.8,9.8,0.0
DISKXFER,T0153,0.4,0.4,0.0
DISKXFER,T0154,10.0,10.0,0.0
DISKXFER,T0155,0.0,0.0,0.0
DISKXFER,T0156,36.0,36.0,0.0
DISKXFER,T0157,1.8,1.8,0.0
DISKXFER,T0158,8.4,8.4,0.0
DISKXFER,T0159,1.8,1.8,0.0
DISKXFER,T0160,8.4,8.4,0.0
DISKXFER,T0161,2.2,2.2,0.0
DISKXFER,T0162,9.2,9.2,0.0
DISKXFER,T0163,7.6,7.6,0.0
DISKXFER,T0164,8.0,8.0,0.0
DISKXFER,T0165,2.2,2.2,0.0
DISKXFER,T0166,8.0,8.0,0.0
DISKXFER,T0167,0.4,0.4,0.0
DISKXFER,T0168,31.6,31.6,0.0
DISKXFER,T0169,0.4,0.4,0.0
DISKXFER,T0170,9.8,9.8,0.0
DISKXFER,T0171,0.4,0.4,0.0
DISKXFER,T0172,9.8,9.8,0.0
DISKXFER,T0173,0.4,0.4,0.0
DISKXFER,T0174,12.0,11.8,0.0
DISKXFER,T0175,5.6,5.6,0.0
DISKXFER,T0176,10.2,10.2,0.0
DISKXFER,T0177,0.0,0.0,0.0
DISKXFER,T0178,8.4,8.4,0.0
DISKXFER,T0179,1.8,1.8,0.0
DISKXFER,T0180,8.8,8.8,0.0
DISKXFER,T0181,12.8,12.8,0.0
DISKXFER,T0182,11.0,11.0,0.0
DISKXFER,T0183,2.2,2.2,0.0
DISKXFER,T0184,8.0,8.0,0.0
DISKXFER,T0185,2.2,2.2,0.0
DISKXFER,T0186,9.6,9.6,0.0
DISKXFER,T0187,2.2,2.2,0.0
DISKXFER,T0188,12.6,12.6,0.0
DISKXFER,T0189,1.2,1.2,0.0
DISKXFER,T0190,9.8,9.8,0.0
DISKXFER,T0191,0.5,0.5,0.0
DISKXFER,T0192,31.8,31.8,0.0
DISKXFER,T0193,1.8,1.8,0.0
DISKXFER,T0194,10.0,10.0,0.0
DISKXFER,T0195,6.8,6.8,0.0
DISKXFER,T0196,13.6,13.6,0.0
DISKXFER,T0197,0.0,0.0,0.0
DISKXFER,T0198,9.0,9.0,0.0
DISKXFER,T0199,1.8,1.8,0.0
DISKXFER,T0200,24.2,24.2,0.0
DISKXFER,T0201,1.8,1.8,0.0
DISKXFER,T0202,8.4,8.4,0.0
DISKXFER,T0203,1.8,1.8,0.0
DISKXFER,T0204,8.8,8.8,0.0
DISKXFER,T0205,2.2,2.2,0.0
DISKXFER,T0206,8.2,8.2,0.0
DISKXFER,T0207,6.6,6.6,0.0
DISKXFER,T0208,8.0,8.0,0.0
DISKXFER,T0209,0.4,0.4,0.0
