JFSFILE,JFS Filespace %Used VM-12-13-centos,/dev,/run,/
JFSFILE,T0001,0.0,0.0,9.6
JFSFILE,T0002,0.0,0.0,9.6
JFSFILE,T0003,0.0,0.0,9.6
JFSFILE,T0004,0.0,0.0,9.6
JFSFILE,T0005,0.0,0.0,9.6
JFSFILE,T0006,0.0,0.0,9.6
JFSFILE,T0007,0.0,0.0,9.6
JFSFILE,T0008,0.0,0.0,9.6
JFSFILE,T0009,0.0,0.0,9.6
JFSFILE,T0010,0.0,0.0,9.6
JFSFILE,T0011,0.0,0.0,9.6
JFSFILE,T0012,0.0,0.0,9.6
JFSFILE,T0013,0.0,0.0,9.6
JFSFILE,T0014,0.0,0.0,9.6
JFSFILE,T0015,0.0,0.0,9.6
JFSFILE,T0016,0.0,0.0,9.6
JFSFILE,T0017,0.0,0.0,9.6
JFSFILE,T0018,0.0,0.0,9.6
JFSFILE,T0019,0.0,0.0,9.6
JFSFILE,T0020,0.0,0.0,9.6
JFSFILE,T0021,0.0,0.0,9.6
JFSFILE,T0022,0.0,0.0,9.6
JFSFILE,T0023,0.0,0.0,9.6
JFSFILE,T0024,0.0,0.0,9.6
JFSFILE,T0025,0.0,0.0,9.6
JFSFILE,T0026,0.0,0.0,9.6
JFSFILE,T0027,0.0,0.0,9.6
JFSFILE,T0028,0.0,0.0,9.6
JFSFILE,T0029,0.0,0.0,9.6
JFSFILE,T0030,0.0,0.0,9.6
JFSFILE,T0031,0.0,0.0,9.6
JFSFILE,T0032,0.0,0.0,9.6
JFSFILE,T0033,0.0,0.0,9.6
JFSFILE,T0034,0.0,0.0,9.6
JFSFILE,T0035,0.0,0.0,9.6
JFSFILE,T0036,0.0,0.0,9.6
JFSFILE,T0037,0.0,0.0,9.6
JFSFILE,T0038,0.0,0.0,9.6
JFSFILE,T0039,0.0,0.0,9.6
JFSFILE,T0040,0.0,0.0,9.6
JFSFILE,T0041,0.0,0.0,9.6
JFSFILE,T0042,0.0,0.0,9.6
JFSFILE,T0043,0.0,0.0,9.6
JFSFILE,T0044,0.0,0.0,9.6
