MEM,Memory MB VM-12-13-centos,memtotal,hightotal,lowtotal,swaptotal,memfree,highfree,lowfree,swapfree,memshared,cached,active,bigfree,buffers,swapcached,inactive
MEM,T0001,3694.2,-0.0,-0.0,0.0,718.3,-0.0,-0.0,0.0,-0.0,1949.4,2064.1,-1.0,212.1,0.0,601.6
MEM,T0002,3694.2,-0.0,-0.0,0.0,718.6,-0.0,-0.0,0.0,-0.0,1949.4,2064.1,-1.0,212.1,0.0,601.6
MEM,T0003,3694.2,-0.0,-0.0,0.0,718.7,-0.0,-0.0,0.0,-0.0,1949.4,2064.1,-1.0,212.1,0.0,601.6
MEM,T0004,3694.2,-0.0,-0.0,0.0,718.9,-0.0,-0.0,0.0,-0.0,1949.4,2064.1,-1.0,212.1,0.0,601.6
MEM,T0005,3694.2,-0.0,-0.0,0.0,718.9,-0.0,-0.0,0.0,-0.0,1949.5,2064.1,-1.0,212.1,0.0,601.6
MEM,T0006,3694.2,-0.0,-0.0,0.0,718.4,-0.0,-0.0,0.0,-0.0,1949.5,2064.1,-1.0,212.1,0.0,601.6
MEM,T0007,3694.2,-0.0,-0.0,0.0,719.0,-0.0,-0.0,0.0,-0.0,1949.5,2063.5,-1.0,212.1,0.0,601.6
MEM,T0008,3694.2,-0.0,-0.0,0.0,719.1,-0.0,-0.0,0.0,-0.0,1949.5,2063.6,-1.0,212.1,0.0,601.6
MEM,T0009,3694.2,-0.0,-0.0,0.0,719.2,-0.0,-0.0,0.0,-0.0,1949.5,2063.7,-1.0,212.1,0.0,601.6
MEM,T0010,3694.2,-0.0,-0.0,0.0,719.2,-0.0,-0.0,0.0,-0.0,1949.5,2063.7,-1.0,212.1,0.0,601.6
MEM,T0011,3694.2,-0.0,-0.0,0.0,719.2,-0.0,-0.0,0.0,-0.0,1949.5,2063.7,-1.0,212.1,0.0,601.6
MEM,T0012,3694.2,-0.0,-0.0,0.0,719.1,-0.0,-0.0,0.0,-0.0,1949.5,2063.5,-1.0,212.1,0.0,601.6
MEM,T0013,3694.2,-0.0,-0.0,0.0,719.4,-0.0,-0.0,0.0,-0.0,1949.5,2063.6,-1.0,212.1,0.0,601.6
MEM,T0014,3694.2,-0.0,-0.0,0.0,719.0,-0.0,-0.0,0.0,-0.0,1949.5,2063.6,-1.0,212.1,0.0,601.6
MEM,T0015,3694.2,-0.0,-0.0,0.0,719.0,-0.0,-0.0,0.0,-0.0,1949.5,2063.6,-1.0,212.1,0.0,601.6
MEM,T0016,3694.2,-0.0,-0.0,0.0,718.9,-0.0,-0.0,0.0,-0.0,1949.5,2063.6,-1.0,212.1,0.0,601.6
MEM,T0017,3694.2,-0.0,-0.0,0.0,719.4,-0.0,-0.0,0.0,-0.0,1949.5,2063.6,-1.0,212.1,0.0,601.6
