NET,Network I/O VM-12-13-centos,eth0-read-KB/s,lo-read-KB/s,eth0-write-KB/s,lo-write-KB/s
NET,T0001,0.3,0.0,1.3,0.0
NET,T0002,0.5,0.0,1.5,0.0
NET,T0003,0.2,0.0,0.3,0.0
NET,T0004,0.4,0.0,0.9,0.0
NET,T0005,0.2,0.0,0.2,0.0
NET,T0006,0.4,0.0,0.8,0.0
NET,T0007,0.2,0.0,0.4,0.0
NET,T0008,0.7,0.0,1.2,0.0
NET,T0009,0.4,0.0,1.0,0.0
NET,T0010,0.4,0.0,0.9,0.0
NET,T0011,0.2,0.0,0.3,0.0
NET,T0012,0.4,0.0,0.8,0.0
NET,T0013,0.1,0.0,0.3,0.0
NET,T0014,0.4,0.0,0.8,0.0
NET,T0015,0.3,0.0,0.4,0.0
NET,T0016,0.4,0.0,0.8,0.0
NET,T0017,0.2,0.0,0.3,0.0
NET,T0018,0.4,0.0,0.8,0.0
NET,T0019,0.2,0.0,0.4,0.0
NET,T0020,0.7,0.0,1.2,0.0
NET,T0021,0.6,0.0,1.3,0.0
NET,T0022,0.3,0.0,0.8,0.0
NET,T0023,0.2,0.0,0.4,0.0
NET,T0024,0.4,0.0,1.1,0.0
NET,T0025,0.1,0.0,0.2,0.0
NET,T0026,0.4,0.0,0.8,0.0
NET,T0027,0.2,0.0,0.3,0.0
NET,T0028,0.4,0.0,0.9,0.0
NET,T0029,0.2,0.0,0.3,0.0
NET,T0030,0.4,0.0,1.0,0.0
NET,T0031,0.2,0.0,0.5,0.0
NET,T0032,0.7,0.0,1.5,0.0
NET,T0033,0.6,0.0,1.0,0.0
NET,T0034,0.4,0.0,0.8,0.0
NET,T0035,0.4,0.0,0.5,0.0
NET,T0036,0.4,0.0,0.9,0.0
NET,T0037,0.1,0.0,0.2,0.0
NET,T0038,0.7,0.0,1.2,0.0
NET,T0039,0.3,0.0,0.6,0.0
NET,T0040,0.4,0.0,0.8,0.0
NET,T0041,0.2,0.0,0.3,0.0
NET,T0042,0.4,0.0,0.8,0.0
NET,T0043,0.2,0.0,0.4,0.0
NET,T0044,0.7,0.0,1.2,0.0
NET,T0045,0.4,0.0,1.2,0.0
NET,T0046,0.3,0.0,0.8,0.0
NET,T0047,0.1,0.0,0.3,0.0
NET,T0048,0.4,0.0,0.9,0.0
NET,T0049,0.1,0.0,0.2,0.0
NET,T0050,0.4,0.0,0.8,0.0
NET,T0051,0.2,0.0,0.4,0.0
NET,T0052,0.3,0.0,0.8,0.0
NET,T0053,0.1,0.0,0.2,0.0
NET,T0054,0.4,0.0,0.9,0.0
NET,T0055,0.2,0.0,0.4,0.0
NET,T0056,0.7,0.0,1.2,0.0
NET,T0057,0.4,0.0,1.1,0.0
NET,T0058,0.4,0.0,0.8,0.0
NET,T0059,0.2,0.0,0.5,0.0
NET,T0060,0.4,0.0,0.9,0.0
NET,T0061,0.1,0.0,0.2,0.0
NET,T0062,0.4,0.0,0.8,0.0
NET,T0063,0.3,0.0,0.3,0.0
NET,T0064,0.4,0.0,0.8,0.0
NET,T0065,0.1,0.0,0.2,0.0
NET,T0066,0.4,0.0,0.9,0.0
NET,T0067,0.1,0.0,0.4,0.0
NET,T0068,0.7,0.0,1.2,0.0
NET,T0069,0.4,0.0,1.1,0.0
NET,T0070,0.4,0.0,0.8,0.0
NET,T0071,0.1,0.0,0.3,0.0
NET,T0072,0.4,0.0,0.9,0.0
NET,T0073,0.4,0.0,0.6,0.0
NET,T0074,0.5,0.0,0.9,0.0
NET,T0075,0.3,0.0,0.4,0.0
NET,T0076,0.4,0.0,0.8,0.0
NET,T0077,0.2,0.0,0.2,0.0
NET,T0078,0.4,0.0,1.0,0.0
NET,T0079,0.2,0.0,0.3,0.0
NET,T0080,0.7,0.0,1.4,0.0
NET,T0081,0.4,0.0,0.7,0.0
NET,T0082,0.3,0.0,0.8,0.0
NET,T0083,0.2,0.0,0.3,0.0
NET,T0084,0.4,0.0,0.8,0.0
NET,T0085,0.2,0.0,0.3,0.0
NET,T0086,0.4,0.0,0.8,0.0
NET,T0087,0.7,0.0,0.7,0.0
NET,T0088,0.5,0.0,1.2,0.0
NET,T0089,0.2,0.0,0.3,0.0
NET,T0090,0.5,0.0,1.4,0.0
NET,T0091,0.2,0.0,0.3,0.0
NET,T0092,0.7,0.0,1.5,0.0
NET,T0093,0.4,0.0,0.8,0.0
NET,T0094,0.6,0.0,1.1,0.0
NET,T0095,0.4,0.0,0.7,0.0
NET,T0096,0.4,0.0,0.9,0.0
NET,T0097,0.2,0.0,0.3,0.0
NET,T0098,0.4,0.0,0.8,0.0
NET,T0099,0.2,0.0,0.4,0.0
NET,T0100,1.7,0.0,1.2,0.0
NET,T0101,0.2,0.0,0.6,0.0
NET,T0102,0.4,0.0,1.0,0.0
NET,T0103,0.2,0.0,0.3,0.0
NET,T0104,0.7,0.0,1.2,0.0
NET,T0105,0.4,0.0,1.0,0.0
NET,T0106,0.3,0.0,0.8,0.0
NET,T0107,0.2,0.0,0.3,0.0
NET,T0108,0.4,0.0,0.8,0.0
NET,T0109,0.2,0.0,0.3,0.0
NET,T0110,0.4,0.0,0.8,0.0
NET,T0111,0.2,0.0,0.4,0.0
NET,T0112,0.3,0.0,0.8,0.0
NET,T0113,0.1,0.0,0.2,0.0
NET,T0114,0.4,0.0,1.0,0.0
NET,T0115,0.1,0.0,0.2,0.0
NET,T0116,0.8,0.0,1.3,0.0
NET,T0117,0.4,0.0,1.1,0.0
NET,T0118,0.4,0.0,0.8,0.0
NET,T0119,0.2,0.0,0.3,0.0
NET,T0120,0.4,0.0,0.8,0.0
NET,T0121,2.5,0.0,1.2,0.0
NET,T0122,0.4,0.0,1.0,0.0
NET,T0123,0.2,0.0,0.3,0.0
NET,T0124,0.3,0.0,0.8,0.0
NET,T0125,0.2,0.0,0.2,0.0
NET,T0126,0.4,0.0,1.0,0.0
NET,T0127,0.1,0.0,0.2,0.0
NET,T0128,0.8,0.0,1.7,0.0
NET,T0129,0.4,0.0,0.7,0.0
NET,T0130,0.4,0.0,0.8,0.0
NET,T0131,0.2,0.0,0.6,0.0
NET,T0132,0.4,0.0,0.8,0.0
NET,T0133,0.2,0.0,0.2,0.0
NET,T0134,0.4,0.0,0.9,0.0
NET,T0135,0.2,0.0,0.3,0.0
NET,T0136,0.4,0.0,0.8,0.0
NET,T0137,0.2,0.0,0.2,0.0
NET,T0138,0.4,0.0,1.0,0.0
NET,T0139,1.3,0.0,0.8,0.0
NET,T0140,0.8,0.0,1.5,0.0
NET,T0141,0.4,0.0,0.8,0.0
NET,T0142,0.4,0.0,0.8,0.0
NET,T0143,0.2,0.0,0.3,0.0
NET,T0144,0.3,0.0,0.8,0.0
NET,T0145,0.1,0.0,0.2,0.0
NET,T0146,0.4,0.0,0.8,0.0
NET,T0147,0.3,0.0,0.5,0.0
NET,T0148,0.4,0.0,0.8,0.0
NET,T0149,0.2,0.0,0.2,0.0
NET,T0150,0.4,0.0,1.3,0.0
NET,T0151,0.1,0.0,0.2,0.0
NET,T0152,0.8,0.0,1.7,0.0
NET,T0153,0.6,0.0,1.0,0.0
NET,T0154,0.4,0.0,0.8,0.0
NET,T0155,0.6,0.0,0.6,0.0
NET,T0156,0.4,0.0,0.9,0.0
NET,T0157,0.1,0.0,0.2,0.0
NET,T0158,0.4,0.0,0.8,0.0
NET,T0159,0.3,0.0,0.4,0.0
NET,T0160,0.4,0.0,0.8,0.0
NET,T0161,0.2,0.0,0.2,0.0
NET,T0162,0.4,0.0,1.1,0.0
NET,T0163,0.1,0.0,0.2,0.0
NET,T0164,0.7,0.0,1.4,0.0
NET,T0165,0.4,0.0,0.8,0.0
NET,T0166,0.4,0.0,0.8,0.0
NET,T0167,0.2,0.0,0.6,0.0
NET,T0168,0.4,0.0,0.8,0.0
NET,T0169,0.1,0.0,0.2,0.0
NET,T0170,0.4,0.0,0.8,0.0
NET,T0171,0.3,0.0,0.4,0.0
NET,T0172,0.4,0.0,0.8,0.0
NET,T0173,0.2,0.0,0.2,0.0
NET,T0174,0.4,0.0,0.8,0.0
NET,T0175,0.2,0.0,0.4,0.0
NET,T0176,0.7,0.0,1.2,0.0
NET,T0177,0.4,0.0,0.9,0.0
NET,T0178,0.4,0.0,0.9,0.0
NET,T0179,0.1,0.0,0.3,0.0
NET,T0180,0.4,0.0,0.8,0.0
NET,T0181,0.2,0.0,0.2,0.0
NET,T0182,0.3,0.0,0.7,0.0
NET,T0183,0.4,0.0,0.5,0.0
NET,T0184,0.4,0.0,0.8,0.0
NET,T0185,0.3,0.0,0.4,0.0
NET,T0186,1.3,0.0,2.3,0.0
NET,T0187,0.4,0.0,1.0,0.0
NET,T0188,593.5,0.0,8.0,0.0
NET,T0189,1.1,0.0,1.4,0.0
NET,T0190,0.5,0.0,1.0,0.0
NET,T0191,0.2,0.0,0.6,0.0
NET,T0192,0.4,0.0,0.9,0.0
NET,T0193,0.1,0.0,0.2,0.0
NET,T0194,0.4,0.0,0.8,0.0
NET,T0195,0.3,0.0,0.4,0.0
NET,T0196,0.4,0.0,0.8,0.0
NET,T0197,0.2,0.0,0.3,0.0
NET,T0198,0.4,0.0,0.8,0.0
NET,T0199,0.2,0.0,0.2,0.0
NET,T0200,0.8,0.0,1.7,0.0
NET,T0201,0.4,0.0,0.8,0.0
NET,T0202,0.3,0.0,0.8,0.0
NET,T0203,0.2,0.0,0.7,0.0
NET,T0204,0.4,0.0,0.8,0.0
NET,T0205,0.1,0.0,0.2,0.0
NET,T0206,0.4,0.0,0.8,0.0
NET,T0207,0.3,0.0,0.4,0.0
NET,T0208,0.3,0.0,0.8,0.0
