NETPACKET,Network Packets VM-12-13-centos,eth0-read/s,lo-read/s,eth0-write/s,lo-write/s
NETPACKET,T0001,5.1,0.0,5.1,0.0
NETPACKET,T0002,6.8,0.0,6.4,0.0
NETPACKET,T0003,3.0,0.0,3.0,0.0
NETPACKET,T0004,4.8,0.0,5.0,0.0
NETPACKET,T0005,2.2,0.0,2.0,0.0
NETPACKET,T0006,4.6,0.0,4.6,0.0
NETPACKET,T0007,2.4,0.0,2.4,0.0
NETPACKET,T0008,9.0,0.0,9.0,0.0
NETPACKET,T0009,5.6,0.0,5.6,0.0
NETPACKET,T0010,4.6,0.0,4.8,0.0
NETPACKET,T0011,2.4,0.0,2.4,0.0
NETPACKET,T0012,4.6,0.0,4.6,0.0
NETPACKET,T0013,2.0,0.0,2.0,0.0
NETPACKET,T0014,4.4,0.0,4.4,0.0
NETPACKET,T0015,3.4,0.0,3.4,0.0
NETPACKET,T0016,4.4,0.0,4.4,0.0
NETPACKET,T0017,2.4,0.0,2.6,0.0
NETPACKET,T0018,4.4,0.0,4.4,0.0
NETPACKET,T0019,2.2,0.0,2.2,0.0
NETPACKET,T0020,9.0,0.0,8.8,0.0
NETPACKET,T0021,7.8,0.0,8.4,0.0
NETPACKET,T0022,4.2,0.0,4.2,0.0
NETPACKET,T0023,3.0,0.0,3.2,0.0
NETPACKET,T0024,4.4,0.0,4.4,0.0
NETPACKET,T0025,2.0,0.0,2.0,0.0
NETPACKET,T0026,4.8,0.0,4.8,0.0
NETPACKET,T0027,3.0,0.0,3.0,0.0
NETPACKET,T0028,5.0,0.0,5.4,0.0
NETPACKET,T0029,3.0,0.0,3.0,0.0
NETPACKET,T0030,5.0,0.0,5.0,0.0
NETPACKET,T0031,2.2,0.0,2.4,0.0
NETPACKET,T0032,9.0,0.0,9.0,0.0
NETPACKET,T0033,7.0,0.0,7.4,0.0
NETPACKET,T0034,4.4,0.0,4.2,0.0
NETPACKET,T0035,3.8,0.0,3.8,0.0
NETPACKET,T0036,5.0,0.0,5.0,0.0
NETPACKET,T0037,2.0,0.0,2.0,0.0
NETPACKET,T0038,6.2,0.0,6.4,0.0
NETPACKET,T0039,4.0,0.0,4.0,0.0
NETPACKET,T0040,4.6,0.0,4.6,0.0
NETPACKET,T0041,2.2,0.0,2.4,0.0
NETPACKET,T0042,4.6,0.0,4.6,0.0
NETPACKET,T0043,2.2,0.0,2.2,0.0
NETPACKET,T0044,8.6,0.0,8.6,0.0
NETPACKET,T0045,6.4,0.0,6.6,0.0
NETPACKET,T0046,4.2,0.0,4.2,0.0
NETPACKET,T0047,2.0,0.0,2.2,0.0
NETPACKET,T0048,5.2,0.0,5.2,0.0
NETPACKET,T0049,2.0,0.0,2.0,0.0
NETPACKET,T0050,4.6,0.0,4.6,0.0
NETPACKET,T0051,3.2,0.0,3.2,0.0
NETPACKET,T0052,4.2,0.0,4.2,0.0
NETPACKET,T0053,2.0,0.0,2.0,0.0
NETPACKET,T0054,5.0,0.0,5.2,0.0
NETPACKET,T0055,2.4,0.0,2.4,0.0
NETPACKET,T0056,8.6,0.0,8.6,0.0
NETPACKET,T0057,5.6,0.0,5.8,0.0
NETPACKET,T0058,4.4,0.0,4.4,0.0
NETPACKET,T0059,2.4,0.0,2.4,0.0
NETPACKET,T0060,5.0,0.0,5.2,0.0
NETPACKET,T0061,2.0,0.0,2.0,0.0
NETPACKET,T0062,4.4,0.0,4.2,0.0
NETPACKET,T0063,3.2,0.0,3.2,0.0
NETPACKET,T0064,4.8,0.0,4.8,0.0
NETPACKET,T0065,2.2,0.0,2.2,0.0
NETPACKET,T0066,5.0,0.0,5.2,0.0
NETPACKET,T0067,2.2,0.0,2.2,0.0
NETPACKET,T0068,8.6,0.0,8.8,0.0
NETPACKET,T0069,5.8,0.0,6.0,0.0
NETPACKET,T0070,4.4,0.0,4.4,0.0
NETPACKET,T0071,2.0,0.0,2.2,0.0
NETPACKET,T0072,4.8,0.0,5.0,0.0
NETPACKET,T0073,4.0,0.0,3.6,0.0
NETPACKET,T0074,5.8,0.0,5.6,0.0
NETPACKET,T0075,3.6,0.0,3.2,0.0
NETPACKET,T0076,4.4,0.0,4.2,0.0
NETPACKET,T0077,2.2,0.0,2.2,0.0
NETPACKET,T0078,4.8,0.0,4.8,0.0
NETPACKET,T0079,2.4,0.0,2.6,0.0
NETPACKET,T0080,9.0,0.0,9.0,0.0
NETPACKET,T0081,5.4,0.0,5.4,0.0
NETPACKET,T0082,4.2,0.0,4.2,0.0
NETPACKET,T0083,2.4,0.0,2.4,0.0
NETPACKET,T0084,4.6,0.0,4.6,0.0
NETPACKET,T0085,2.4,0.0,2.4,0.0
NETPACKET,T0086,4.6,0.0,4.6,0.0
NETPACKET,T0087,5.8,0.0,6.0,0.0
NETPACKET,T0088,6.0,0.0,5.8,0.0
NETPACKET,T0089,2.6,0.0,2.4,0.0
NETPACKET,T0090,5.8,0.0,6.2,0.0
NETPACKET,T0091,2.6,0.0,2.6,0.0
NETPACKET,T0092,8.6,0.0,8.8,0.0
NETPACKET,T0093,6.2,0.0,6.0,0.0
NETPACKET,T0094,6.4,0.0,6.8,0.0
NETPACKET,T0095,3.4,0.0,3.6,0.0
NETPACKET,T0096,4.8,0.0,4.8,0.0
NETPACKET,T0097,2.4,0.0,2.6,0.0
NETPACKET,T0098,4.6,0.0,4.8,0.0
NETPACKET,T0099,3.2,0.0,3.2,0.0
NETPACKET,T0100,6.8,0.0,7.4,0.0
NETPACKET,T0101,2.4,0.0,2.6,0.0
NETPACKET,T0102,5.0,0.0,5.0,0.0
NETPACKET,T0103,2.2,0.0,2.4,0.0
NETPACKET,T0104,8.8,0.0,8.8,0.0
NETPACKET,T0105,6.0,0.0,5.8,0.0
NETPACKET,T0106,4.0,0.0,4.0,0.0
NETPACKET,T0107,2.4,0.0,2.4,0.0
NETPACKET,T0108,4.8,0.0,4.8,0.0
NETPACKET,T0109,2.0,0.0,2.0,0.0
NETPACKET,T0110,4.8,0.0,4.8,0.0
NETPACKET,T0111,3.2,0.0,3.2,0.0
NETPACKET,T0112,4.2,0.0,4.2,0.0
NETPACKET,T0113,2.2,0.0,2.2,0.0
NETPACKET,T0114,4.8,0.0,4.8,0.0
NETPACKET,T0115,2.0,0.0,2.0,0.0
NETPACKET,T0116,9.2,0.0,9.2,0.0
NETPACKET,T0117,6.0,0.0,6.2,0.0
NETPACKET,T0118,4.4,0.0,4.4,0.0
NETPACKET,T0119,2.4,0.0,2.4,0.0
NETPACKET,T0120,4.4,0.0,4.4,0.0
NETPACKET,T0121,9.6,0.0,9.6,0.0
NETPACKET,T0122,5.2,0.0,5.4,0.0
NETPACKET,T0123,3.2,0.0,3.2,0.0
NETPACKET,T0124,4.2,0.0,4.2,0.0
NETPACKET,T0125,2.2,0.0,2.2,0.0
NETPACKET,T0126,4.6,0.0,4.6,0.0
NETPACKET,T0127,2.2,0.0,2.2,0.0
NETPACKET,T0128,9.8,0.0,10.0,0.0
NETPACKET,T0129,5.2,0.0,5.2,0.0
NETPACKET,T0130,4.4,0.0,4.4,0.0
NETPACKET,T0131,2.6,0.0,2.6,0.0
NETPACKET,T0132,4.4,0.0,4.4,0.0
NETPACKET,T0133,2.2,0.0,2.0,0.0
NETPACKET,T0134,5.4,0.0,5.4,0.0
NETPACKET,T0135,2.8,0.0,2.8,0.0
NETPACKET,T0136,4.6,0.0,4.6,0.0
NETPACKET,T0137,2.4,0.0,2.4,0.0
NETPACKET,T0138,4.4,0.0,4.4,0.0
NETPACKET,T0139,4.6,0.0,4.8,0.0
NETPACKET,T0140,9.2,0.0,9.4,0.0
NETPACKET,T0141,5.6,0.0,5.6,0.0
NETPACKET,T0142,4.6,0.0,4.6,0.0
NETPACKET,T0143,2.2,0.0,2.4,0.0
NETPACKET,T0144,4.2,0.0,4.2,0.0
NETPACKET,T0145,2.0,0.0,2.0,0.0
NETPACKET,T0146,4.8,0.0,4.8,0.0
NETPACKET,T0147,3.8,0.0,3.6,0.0
NETPACKET,T0148,4.4,0.0,4.4,0.0
NETPACKET,T0149,2.2,0.0,2.2,0.0
NETPACKET,T0150,4.8,0.0,5.0,0.0
NETPACKET,T0151,2.0,0.0,2.0,0.0
NETPACKET,T0152,10.0,0.0,10.6,0.0
NETPACKET,T0153,7.2,0.0,7.8,0.0
NETPACKET,T0154,4.4,0.0,4.4,0.0
NETPACKET,T0155,5.2,0.0,5.6,0.0
NETPACKET,T0156,4.6,0.0,4.6,0.0
NETPACKET,T0157,2.0,0.0,2.0,0.0
NETPACKET,T0158,4.4,0.0,4.4,0.0
NETPACKET,T0159,3.6,0.0,3.8,0.0
NETPACKET,T0160,4.8,0.0,4.8,0.0
NETPACKET,T0161,2.4,0.0,2.2,0.0
NETPACKET,T0162,4.6,0.0,4.8,0.0
NETPACKET,T0163,2.0,0.0,2.0,0.0
NETPACKET,T0164,8.8,0.0,8.8,0.0
NETPACKET,T0165,5.8,0.0,6.0,0.0
NETPACKET,T0166,4.6,0.0,4.6,0.0
NETPACKET,T0167,2.2,0.0,2.4,0.0
NETPACKET,T0168,4.6,0.0,4.6,0.0
NETPACKET,T0169,2.0,0.0,2.0,0.0
NETPACKET,T0170,4.4,0.0,4.4,0.0
NETPACKET,T0171,3.8,0.0,4.0,0.0
NETPACKET,T0172,4.6,0.0,4.6,0.0
NETPACKET,T0173,2.2,0.0,2.2,0.0
NETPACKET,T0174,4.8,0.0,4.8,0.0
NETPACKET,T0175,2.4,0.0,2.4,0.0
NETPACKET,T0176,9.0,0.0,8.8,0.0
NETPACKET,T0177,5.4,0.0,5.4,0.0
NETPACKET,T0178,4.8,0.0,5.0,0.0
NETPACKET,T0179,2.0,0.0,2.0,0.0
NETPACKET,T0180,4.6,0.0,4.6,0.0
NETPACKET,T0181,2.4,0.0,2.8,0.0
NETPACKET,T0182,4.0,0.0,3.6,0.0
NETPACKET,T0183,4.4,0.0,4.4,0.0
NETPACKET,T0184,4.6,0.0,4.4,0.0
NETPACKET,T0185,3.2,0.0,3.2,0.0
NETPACKET,T0186,10.2,0.0,9.8,0.0
NETPACKET,T0187,5.4,0.0,4.6,0.0
NETPACKET,T0188,422.7,0.0,113.7,0.0
NETPACKET,T0189,13.8,0.0,10.4,0.0
NETPACKET,T0190,6.0,0.0,5.8,0.0
NETPACKET,T0191,3.0,0.0,3.2,0.0
NETPACKET,T0192,4.6,0.0,4.6,0.0
NETPACKET,T0193,1.6,0.0,1.8,0.0
NETPACKET,T0194,5.0,0.0,5.0,0.0
NETPACKET,T0195,3.6,0.0,3.6,0.0
NETPACKET,T0196,4.6,0.0,4.6,0.0
NETPACKET,T0197,2.2,0.0,2.2,0.0
NETPACKET,T0198,4.4,0.0,4.4,0.0
NETPACKET,T0199,2.2,0.0,2.2,0.0
NETPACKET,T0200,9.6,0.0,9.6,0.0
NETPACKET,T0201,5.4,0.0,5.4,0.0
NETPACKET,T0202,4.2,0.0,4.2,0.0
NETPACKET,T0203,3.0,0.0,3.0,0.0
NETPACKET,T0204,4.8,0.0,4.6,0.0
NETPACKET,T0205,2.0,0.0,2.0,0.0
NETPACKET,T0206,4.4,0.0,4.4,0.0
NETPACKET,T0207,3.2,0.0,3.2,0.0
NETPACKET,T0208,4.2,0.0,4.2,0.0
NETPACKET,T0209,2.8,0.0,2.8,0.0
NETPACKET,T0210,5.0,0.0,5.2,0.0
NETPACKET,T0211,2.4,0.0,2.4,0.0
NETPACKET,T0212,8.6,0.0,8.6,0.0
NETPACKET,T0213,5.6,0.0,5.8,0.0
NETPACKET,T0214,4.4,0.0,4.4,0.0
NETPACKET,T0215,5.0,0.0,5.6,0.0
NETPACKET,T0216,6.0,0.0,6.4,0.0
NETPACKET,T0217,2.0,0.0,2.0,0.0
NETPACKET,T0218,5.0,0.0,4.8,0.0
NETPACKET,T0219,4.6,0.0,5.0,0.0
NETPACKET,T0220,7.4,0.0,7.6,0.0
NETPACKET,T0221,3.0,0.0,3.2,0.0
NETPACKET,T0222,4.6,0.0,4.6,0.0
NETPACKET,T0223,2.2,0.0,2.2,0.0
NETPACKET,T0224,8.8,0.0,8.8,0.0
NETPACKET,T0225,5.6,0.0,5.8,0.0
NETPACKET,T0226,4.2,0.0,4.2,0.0
NETPACKET,T0227,2.8,0.0,2.8,0.0
NETPACKET,T0228,4.6,0.0,4.6,0.0
NETPACKET,T0229,2.0,0.0,2.0,0.0
NETPACKET,T0230,4.6,0.0,4.6,0.0
NETPACKET,T0231,3.4,0.0,3.4,0.0
