PROC,Processes VM-12-13-centos,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
PROC,T0001,2,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
PROC,T0002,1,0,1382.9,-1.0,-1.0,-1.0,6.6,-1.0,-1.0,-1.0
PROC,T0003,1,0,1121.2,-1.0,-1.0,-1.0,2.2,-1.0,-1.0,-1.0
PROC,T0004,1,0,1387.6,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0005,1,0,1069.1,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0006,1,0,1278.3,-1.0,-1.0,-1.0,8.6,-1.0,-1.0,-1.0
PROC,T0007,1,0,1249.9,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0008,1,0,1352.7,-1.0,-1.0,-1.0,7.4,-1.0,-1.0,-1.0
PROC,T0009,1,0,1258.0,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0010,1,0,1285.7,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0011,1,0,1114.4,-1.0,-1.0,-1.0,4.2,-1.0,-1.0,-1.0
PROC,T0012,1,0,1315.1,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0013,2,0,1063.5,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0014,1,0,1240.5,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0015,1,0,1110.6,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
PROC,T0016,1,0,1291.6,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0017,1,0,1086.5,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0018,1,0,1358.2,-1.0,-1.0,-1.0,8.6,-1.0,-1.0,-1.0
PROC,T0019,1,0,1061.1,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0020,1,0,1388.5,-1.0,-1.0,-1.0,7.2,-1.0,-1.0,-1.0
PROC,T0021,1,0,1170.4,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0022,1,0,1325.4,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0023,1,0,1136.2,-1.0,-1.0,-1.0,4.6,-1.0,-1.0,-1.0
PROC,T0024,1,0,1275.6,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0025,1,0,1190.5,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0026,1,0,1484.1,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0027,1,0,1350.2,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
PROC,T0028,1,0,1422.1,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0029,1,0,1113.4,-1.0,-1.0,-1.0,2.2,-1.0,-1.0,-1.0
PROC,T0030,1,0,1359.6,-1.0,-1.0,-1.0,11.0,-1.0,-1.0,-1.0
PROC,T0031,1,0,1118.0,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
