ZZZZ,taskId,date,day,full_time
ZZZZ,T0001,10:47:39,04-JUN-2023,2023-06-04 10:47:39
ZZZZ,T0002,10:47:44,04-JUN-2023,2023-06-04 10:47:44
ZZZZ,T0003,10:47:49,04-JUN-2023,2023-06-04 10:47:49
ZZZZ,T0004,10:47:54,04-JUN-2023,2023-06-04 10:47:54
ZZZZ,T0005,10:47:59,04-JUN-2023,2023-06-04 10:47:59
ZZZZ,T0006,10:48:04,04-JUN-2023,2023-06-04 10:48:04
ZZZZ,T0007,10:48:09,04-JUN-2023,2023-06-04 10:48:09
ZZZZ,T0008,10:48:14,04-JUN-2023,2023-06-04 10:48:14
ZZZZ,T0009,10:48:19,04-JUN-2023,2023-06-04 10:48:19
ZZZZ,T0010,10:48:24,04-JUN-2023,2023-06-04 10:48:24
ZZZZ,T0011,10:48:29,04-JUN-2023,2023-06-04 10:48:29
ZZZZ,T0012,10:48:34,04-JUN-2023,2023-06-04 10:48:34
ZZZZ,T0013,10:48:39,04-JUN-2023,2023-06-04 10:48:39
ZZZZ,T0014,10:48:44,04-JUN-2023,2023-06-04 10:48:44
ZZZZ,T0015,10:48:49,04-JUN-2023,2023-06-04 10:48:49
ZZZZ,T0016,10:48:54,04-JUN-2023,2023-06-04 10:48:54
ZZZZ,T0017,10:48:59,04-JUN-2023,2023-06-04 10:48:59
ZZZZ,T0018,10:49:04,04-JUN-2023,2023-06-04 10:49:04
ZZZZ,T0019,10:49:09,04-JUN-2023,2023-06-04 10:49:09
ZZZZ,T0020,10:49:14,04-JUN-2023,2023-06-04 10:49:14
ZZZZ,T0021,10:49:19,04-JUN-2023,2023-06-04 10:49:19
ZZZZ,T0022,10:49:24,04-JUN-2023,2023-06-04 10:49:24
ZZZZ,T0023,10:49:29,04-JUN-2023,2023-06-04 10:49:29
ZZZZ,T0024,10:49:34,04-JUN-2023,2023-06-04 10:49:34
ZZZZ,T0025,10:49:39,04-JUN-2023,2023-06-04 10:49:39
ZZZZ,T0026,10:49:44,04-JUN-2023,2023-06-04 10:49:44
ZZZZ,T0027,10:49:49,04-JUN-2023,2023-06-04 10:49:49
ZZZZ,T0028,10:49:54,04-JUN-2023,2023-06-04 10:49:54
ZZZZ,T0029,10:49:59,04-JUN-2023,2023-06-04 10:49:59
ZZZZ,T0030,10:50:04,04-JUN-2023,2023-06-04 10:50:04
ZZZZ,T0031,10:50:09,04-JUN-2023,2023-06-04 10:50:09
ZZZZ,T0032,10:50:14,04-JUN-2023,2023-06-04 10:50:14
ZZZZ,T0033,10:50:19,04-JUN-2023,2023-06-04 10:50:19
ZZZZ,T0034,10:50:24,04-JUN-2023,2023-06-04 10:50:24
ZZZZ,T0035,10:50:29,04-JUN-2023,2023-06-04 10:50:29
ZZZZ,T0036,10:50:34,04-JUN-2023,2023-06-04 10:50:34
ZZZZ,T0037,10:50:39,04-JUN-2023,2023-06-04 10:50:39
ZZZZ,T0038,10:50:44,04-JUN-2023,2023-06-04 10:50:44
ZZZZ,T0039,10:50:49,04-JUN-2023,2023-06-04 10:50:49
ZZZZ,T0040,10:50:54,04-JUN-2023,2023-06-04 10:50:54
ZZZZ,T0041,10:50:59,04-JUN-2023,2023-06-04 10:50:59
ZZZZ,T0042,10:51:04,04-JUN-2023,2023-06-04 10:51:04
ZZZZ,T0043,10:51:09,04-JUN-2023,2023-06-04 10:51:09
ZZZZ,T0044,10:51:14,04-JUN-2023,2023-06-04 10:51:14
ZZZZ,T0045,10:51:19,04-JUN-2023,2023-06-04 10:51:19
ZZZZ,T0046,10:51:24,04-JUN-2023,2023-06-04 10:51:24
ZZZZ,T0047,10:51:29,04-JUN-2023,2023-06-04 10:51:29
ZZZZ,T0048,10:51:34,04-JUN-2023,2023-06-04 10:51:34
ZZZZ,T0049,10:51:39,04-JUN-2023,2023-06-04 10:51:39
ZZZZ,T0050,10:51:44,04-JUN-2023,2023-06-04 10:51:44
ZZZZ,T0051,10:51:49,04-JUN-2023,2023-06-04 10:51:49
ZZZZ,T0052,10:51:54,04-JUN-2023,2023-06-04 10:51:54
ZZZZ,T0053,10:51:59,04-JUN-2023,2023-06-04 10:51:59
ZZZZ,T0054,10:52:04,04-JUN-2023,2023-06-04 10:52:04
ZZZZ,T0055,10:52:09,04-JUN-2023,2023-06-04 10:52:09
ZZZZ,T0056,10:52:14,04-JUN-2023,2023-06-04 10:52:14
ZZZZ,T0057,10:52:19,04-JUN-2023,2023-06-04 10:52:19
ZZZZ,T0058,10:52:24,04-JUN-2023,2023-06-04 10:52:24
ZZZZ,T0059,10:52:29,04-JUN-2023,2023-06-04 10:52:29
ZZZZ,T0060,10:52:34,04-JUN-2023,2023-06-04 10:52:34
ZZZZ,T0061,10:52:39,04-JUN-2023,2023-06-04 10:52:39
ZZZZ,T0062,10:52:44,04-JUN-2023,2023-06-04 10:52:44
ZZZZ,T0063,10:52:49,04-JUN-2023,2023-06-04 10:52:49
ZZZZ,T0064,10:52:54,04-JUN-2023,2023-06-04 10:52:54
ZZZZ,T0065,10:52:59,04-JUN-2023,2023-06-04 10:52:59
ZZZZ,T0066,10:53:04,04-JUN-2023,2023-06-04 10:53:04
ZZZZ,T0067,10:53:09,04-JUN-2023,2023-06-04 10:53:09
ZZZZ,T0068,10:53:14,04-JUN-2023,2023-06-04 10:53:14
ZZZZ,T0069,10:53:19,04-JUN-2023,2023-06-04 10:53:19
ZZZZ,T0070,10:53:24,04-JUN-2023,2023-06-04 10:53:24
ZZZZ,T0071,10:53:29,04-JUN-2023,2023-06-04 10:53:29
ZZZZ,T0072,10:53:34,04-JUN-2023,2023-06-04 10:53:34
ZZZZ,T0073,10:53:39,04-JUN-2023,2023-06-04 10:53:39
ZZZZ,T0074,10:53:44,04-JUN-2023,2023-06-04 10:53:44
ZZZZ,T0075,10:53:49,04-JUN-2023,2023-06-04 10:53:49
ZZZZ,T0076,10:53:54,04-JUN-2023,2023-06-04 10:53:54
ZZZZ,T0077,10:53:59,04-JUN-2023,2023-06-04 10:53:59
ZZZZ,T0078,10:54:04,04-JUN-2023,2023-06-04 10:54:04
ZZZZ,T0079,10:54:09,04-JUN-2023,2023-06-04 10:54:09
ZZZZ,T0080,10:54:14,04-JUN-2023,2023-06-04 10:54:14
ZZZZ,T0081,10:54:19,04-JUN-2023,2023-06-04 10:54:19
ZZZZ,T0082,10:54:24,04-JUN-2023,2023-06-04 10:54:24
ZZZZ,T0083,10:54:29,04-JUN-2023,2023-06-04 10:54:29
ZZZZ,T0084,10:54:34,04-JUN-2023,2023-06-04 10:54:34
ZZZZ,T0085,10:54:39,04-JUN-2023,2023-06-04 10:54:39
ZZZZ,T0086,10:54:44,04-JUN-2023,2023-06-04 10:54:44
ZZZZ,T0087,10:54:49,04-JUN-2023,2023-06-04 10:54:49
ZZZZ,T0088,10:54:54,04-JUN-2023,2023-06-04 10:54:54
ZZZZ,T0089,10:54:59,04-JUN-2023,2023-06-04 10:54:59
ZZZZ,T0090,10:55:04,04-JUN-2023,2023-06-04 10:55:04
ZZZZ,T0091,10:55:09,04-JUN-2023,2023-06-04 10:55:09
ZZZZ,T0092,10:55:14,04-JUN-2023,2023-06-04 10:55:14
ZZZZ,T0093,10:55:19,04-JUN-2023,2023-06-04 10:55:19
ZZZZ,T0094,10:55:24,04-JUN-2023,2023-06-04 10:55:24
ZZZZ,T0095,10:55:29,04-JUN-2023,2023-06-04 10:55:29
ZZZZ,T0096,10:55:34,04-JUN-2023,2023-06-04 10:55:34
ZZZZ,T0097,10:55:39,04-JUN-2023,2023-06-04 10:55:39
ZZZZ,T0098,10:55:44,04-JUN-2023,2023-06-04 10:55:44
ZZZZ,T0099,10:55:49,04-JUN-2023,2023-06-04 10:55:49
ZZZZ,T0100,10:55:54,04-JUN-2023,2023-06-04 10:55:54
ZZZZ,T0101,10:55:59,04-JUN-2023,2023-06-04 10:55:59
ZZZZ,T0102,10:56:04,04-JUN-2023,2023-06-04 10:56:04
ZZZZ,T0103,10:56:09,04-JUN-2023,2023-06-04 10:56:09
ZZZZ,T0104,10:56:14,04-JUN-2023,2023-06-04 10:56:14
ZZZZ,T0105,10:56:19,04-JUN-2023,2023-06-04 10:56:19
ZZZZ,T0106,10:56:24,04-JUN-2023,2023-06-04 10:56:24
ZZZZ,T0107,10:56:29,04-JUN-2023,2023-06-04 10:56:29
ZZZZ,T0108,10:56:34,04-JUN-2023,2023-06-04 10:56:34
ZZZZ,T0109,10:56:39,04-JUN-2023,2023-06-04 10:56:39
ZZZZ,T0110,10:56:44,04-JUN-2023,2023-06-04 10:56:44
ZZZZ,T0111,10:56:49,04-JUN-2023,2023-06-04 10:56:49
ZZZZ,T0112,10:56:54,04-JUN-2023,2023-06-04 10:56:54
ZZZZ,T0113,10:56:59,04-JUN-2023,2023-06-04 10:56:59
ZZZZ,T0114,10:57:04,04-JUN-2023,2023-06-04 10:57:04
ZZZZ,T0115,10:57:09,04-JUN-2023,2023-06-04 10:57:09
ZZZZ,T0116,10:57:14,04-JUN-2023,2023-06-04 10:57:14
ZZZZ,T0117,10:57:19,04-JUN-2023,2023-06-04 10:57:19
ZZZZ,T0118,10:57:24,04-JUN-2023,2023-06-04 10:57:24
ZZZZ,T0119,10:57:29,04-JUN-2023,2023-06-04 10:57:29
ZZZZ,T0120,10:57:34,04-JUN-2023,2023-06-04 10:57:34
ZZZZ,T0121,10:57:39,04-JUN-2023,2023-06-04 10:57:39
ZZZZ,T0122,10:57:44,04-JUN-2023,2023-06-04 10:57:44
ZZZZ,T0123,10:57:49,04-JUN-2023,2023-06-04 10:57:49
ZZZZ,T0124,10:57:54,04-JUN-2023,2023-06-04 10:57:54
ZZZZ,T0125,10:57:59,04-JUN-2023,2023-06-04 10:57:59
ZZZZ,T0126,10:58:04,04-JUN-2023,2023-06-04 10:58:04
ZZZZ,T0127,10:58:09,04-JUN-2023,2023-06-04 10:58:09
ZZZZ,T0128,10:58:14,04-JUN-2023,2023-06-04 10:58:14
ZZZZ,T0129,10:58:19,04-JUN-2023,2023-06-04 10:58:19
ZZZZ,T0130,10:58:24,04-JUN-2023,2023-06-04 10:58:24
ZZZZ,T0131,10:58:29,04-JUN-2023,2023-06-04 10:58:29
ZZZZ,T0132,10:58:34,04-JUN-2023,2023-06-04 10:58:34
ZZZZ,T0133,10:58:40,04-JUN-2023,2023-06-04 10:58:40
ZZZZ,T0134,10:58:45,04-JUN-2023,2023-06-04 10:58:45
ZZZZ,T0135,10:58:50,04-JUN-2023,2023-06-04 10:58:50
ZZZZ,T0136,10:58:55,04-JUN-2023,2023-06-04 10:58:55
ZZZZ,T0137,10:59:00,04-JUN-2023,2023-06-04 10:59:00
ZZZZ,T0138,10:59:05,04-JUN-2023,2023-06-04 10:59:05
ZZZZ,T0139,10:59:10,04-JUN-2023,2023-06-04 10:59:10
ZZZZ,T0140,10:59:15,04-JUN-2023,2023-06-04 10:59:15
ZZZZ,T0141,10:59:20,04-JUN-2023,2023-06-04 10:59:20
ZZZZ,T0142,10:59:25,04-JUN-2023,2023-06-04 10:59:25
ZZZZ,T0143,10:59:30,04-JUN-2023,2023-06-04 10:59:30
